Title,Description,Reference,Category,Applicability,Status,Verification,Author,Reviewer,Parent,Justification
RM-API-0104 GET /api/cache/health endpoint shall exist,The system shall expose the GET /api/cache/health endpoint. Acceptance: requests to /api/cache/health using HTTP GET are routed and do not return HTTP 404.,RM-API-0104,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/cache.rs
RM-API-0105 GET /api/cache/health shall not require authentication,"The system shall allow unauthenticated clients to call GET /api/cache/health. Acceptance: when no session cookie is provided, the response is HTTP 200.",RM-API-0105,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/cache.rs
RM-API-0106 GET /api/cache/health shall return HTTP 200 with a JSON object with cache health summary,The system shall respond to successful GET /api/cache/health requests with HTTP 200 and a JSON object with cache health summary. Acceptance: the HTTP response code is 200 and the body matches the documented JSON shape.,RM-API-0106,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/cache.rs
RM-API-0107 GET /api/projects/<project_id>/requirements/semantic_search endpoint shall exist,The system shall expose the GET /api/projects/<project_id>/requirements/semantic_search endpoint. Acceptance: requests to /api/projects/<project_id>/requirements/semantic_search using HTTP GET are routed and do not return HTTP 404.,RM-API-0107,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/semantic_search.rs
RM-API-0108 GET /api/projects/<project_id>/requirements/semantic_search shall require project access,The system shall restrict GET /api/projects/<project_id>/requirements/semantic_search to authenticated users with access to the addressed project. Acceptance: an authenticated user who is not a project member receives HTTP 403 Forbidden.,RM-API-0108,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/semantic_search.rs; src/auth/guards.rs (ProjectAccess)
"RM-API-0109 GET /api/projects/<project_id>/requirements/semantic_search shall return HTTP 200 with a JSON object {enabled:<bool>, results:[...]}","The system shall respond to successful GET /api/projects/<project_id>/requirements/semantic_search requests with HTTP 200 and a JSON object {enabled:<bool>, results:[...]}. Acceptance: the HTTP response code is 200 and the body matches the documented JSON shape.",RM-API-0109,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/semantic_search.rs
RM-API-0110 POST /api/projects/<project_id>/requirements/ask endpoint shall exist,The system shall expose the POST /api/projects/<project_id>/requirements/ask endpoint. Acceptance: requests to /api/projects/<project_id>/requirements/ask using HTTP POST are routed and do not return HTTP 404.,RM-API-0110,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/semantic_search.rs
RM-API-0111 POST /api/projects/<project_id>/requirements/ask shall require project access,The system shall restrict POST /api/projects/<project_id>/requirements/ask to authenticated users with access to the addressed project. Acceptance: an authenticated user who is not a project member receives HTTP 403 Forbidden.,RM-API-0111,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/semantic_search.rs; src/auth/guards.rs (ProjectAccess)
RM-API-0112 POST /api/projects/<project_id>/requirements/ask shall return HTTP 200 with a JSON RAG response object,The system shall respond to successful POST /api/projects/<project_id>/requirements/ask requests with HTTP 200 and a JSON RAG response object. Acceptance: the HTTP response code is 200 and the body matches the documented JSON shape.,RM-API-0112,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/semantic_search.rs
RM-API-0113 POST /api/projects/<project_id>/requirements/reindex endpoint shall exist,The system shall expose the POST /api/projects/<project_id>/requirements/reindex endpoint. Acceptance: requests to /api/projects/<project_id>/requirements/reindex using HTTP POST are routed and do not return HTTP 404.,RM-API-0113,Backend,Administrators,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/semantic_search.rs
RM-API-0114 POST /api/projects/<project_id>/requirements/reindex shall require admin privileges,The system shall restrict POST /api/projects/<project_id>/requirements/reindex to authenticated administrators. Acceptance: a non-admin authenticated user receives HTTP 403 Forbidden.,RM-API-0114,Backend,Administrators,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/semantic_search.rs; src/auth/guards.rs (AdminOnly)
RM-API-0115 POST /api/projects/<project_id>/requirements/reindex shall return HTTP 200 with a JSON object with reindex summary,The system shall respond to successful POST /api/projects/<project_id>/requirements/reindex requests with HTTP 200 and a JSON object with reindex summary. Acceptance: the HTTP response code is 200 and the body matches the documented JSON shape.,RM-API-0115,Backend,Administrators,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/semantic_search.rs
RM-API-0116 GET /api/projects/<project_id>/requirements/index_status endpoint shall exist,The system shall expose the GET /api/projects/<project_id>/requirements/index_status endpoint. Acceptance: requests to /api/projects/<project_id>/requirements/index_status using HTTP GET are routed and do not return HTTP 404.,RM-API-0116,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/semantic_search.rs
RM-API-0117 GET /api/projects/<project_id>/requirements/index_status shall require project access,The system shall restrict GET /api/projects/<project_id>/requirements/index_status to authenticated users with access to the addressed project. Acceptance: an authenticated user who is not a project member receives HTTP 403 Forbidden.,RM-API-0117,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/semantic_search.rs; src/auth/guards.rs (ProjectAccess)
RM-API-0118 GET /api/projects/<project_id>/requirements/index_status shall return HTTP 200 with a JSON object with index status counts,The system shall respond to successful GET /api/projects/<project_id>/requirements/index_status requests with HTTP 200 and a JSON object with index status counts. Acceptance: the HTTP response code is 200 and the body matches the documented JSON shape.,RM-API-0118,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/semantic_search.rs
RM-API-0119 GET /api/projects/<project_id>/requirements/semantic_search/status endpoint shall exist,The system shall expose the GET /api/projects/<project_id>/requirements/semantic_search/status endpoint. Acceptance: requests to /api/projects/<project_id>/requirements/semantic_search/status using HTTP GET are routed and do not return HTTP 404.,RM-API-0119,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/semantic_search.rs
RM-API-0120 GET /api/projects/<project_id>/requirements/semantic_search/status shall require project access,The system shall restrict GET /api/projects/<project_id>/requirements/semantic_search/status to authenticated users with access to the addressed project. Acceptance: an authenticated user who is not a project member receives HTTP 403 Forbidden.,RM-API-0120,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/semantic_search.rs; src/auth/guards.rs (ProjectAccess)
RM-API-0121 GET /api/projects/<project_id>/requirements/semantic_search/status shall return HTTP 200 with a JSON object with search configuration flags,The system shall respond to successful GET /api/projects/<project_id>/requirements/semantic_search/status requests with HTTP 200 and a JSON object with search configuration flags. Acceptance: the HTTP response code is 200 and the body matches the documented JSON shape.,RM-API-0121,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/semantic_search.rs
RM-API-0122 PATCH /api/requirements/<id> shall reject empty patch,"The system shall reject PATCH /api/requirements/<id> requests that provide no updatable fields. Acceptance: when all patch fields are null/absent, the endpoint responds with HTTP 400 and message 'no fields provided'.",RM-API-0122,Backend,All Users,Draft,Unit Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/requirements.rs (patch_requirement)
RM-API-0123 POST /api/tests/<id>/field shall reject unsupported fields,"The system shall reject test field updates for unsupported field names. Acceptance: when FieldUpdateRequest.field is not one of the supported values, the endpoint responds with HTTP 400.",RM-API-0123,Backend,All Users,Draft,Unit Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/tests.rs (update_field match)
RM-REQ-0002 Requirement titles shall be non-empty,The system shall reject creating or updating a requirement with an empty title. Acceptance: title consisting only of whitespace is rejected.,RM-REQ-0002,Backend,All Users,Draft,Unit Test,System Administrator,Alice Johnson,RM-REQ-0001 Requirements management,Trace: src/validation/mod.rs (validate_requirement)
RM-REQ-0003 Requirement titles shall be between 3 and 255 characters,The system shall reject requirement titles shorter than 3 characters or longer than 255 characters. Acceptance: invalid titles are rejected with a validation error.,RM-REQ-0003,Backend,All Users,Draft,Unit Test,System Administrator,Alice Johnson,RM-REQ-0001 Requirements management,Trace: src/validation/mod.rs (validate_requirement)
RM-REQ-0004 Requirement descriptions shall be non-empty,The system shall reject creating or updating a requirement with an empty description. Acceptance: description consisting only of whitespace is rejected.,RM-REQ-0004,Backend,All Users,Draft,Unit Test,System Administrator,Alice Johnson,RM-REQ-0001 Requirements management,Trace: src/validation/mod.rs (validate_requirement)
RM-REQ-0005 Requirement descriptions shall be at most 2000 characters,The system shall reject requirement descriptions longer than 2000 characters. Acceptance: overly long descriptions are rejected with a validation error.,RM-REQ-0005,Backend,All Users,Draft,Unit Test,System Administrator,Alice Johnson,RM-REQ-0001 Requirements management,Trace: src/validation/mod.rs (validate_requirement)
RM-REQ-0006 Requirement reference codes shall follow the configured format,The system shall validate requirement reference_code when provided. Acceptance: reference_code values not matching the configured regex are rejected.,RM-REQ-0006,Backend,All Users,Draft,Unit Test,System Administrator,Alice Johnson,RM-REQ-0001 Requirements management,Trace: src/validation/mod.rs (validate_requirement)
RM-REQ-0007 Requirement payloads shall be sanitized,"The system shall trim leading/trailing whitespace from requirement title, description, and reference_code before validation. Acceptance: stored values do not include surrounding whitespace.",RM-REQ-0007,Backend,All Users,Draft,Unit Test,System Administrator,Alice Johnson,RM-REQ-0001 Requirements management,Trace: src/services/requirement_service.rs (prepare_payload); src/validation/mod.rs (sanitize_string)
RM-REQ-0008 Requirements shall be listable per project in the UI,The system shall render a project-scoped requirements listing at /p/<project_id>/requirements. Acceptance: an authorized project member receives HTTP 200 and a list view.,RM-REQ-0008,Backend,All Users,Draft,System Test,System Administrator,Alice Johnson,RM-REQ-0001 Requirements management,Trace: src/routes/html/project/requirements.rs
RM-REQ-0009 Requirements shall support hierarchical parent-child relationships,"The system shall support a parent_id field for requirements, enabling a requirements tree. Acceptance: children with a parent_id are grouped under their parent in the tree view.",RM-REQ-0009,Backend,All Users,Draft,System Test,System Administrator,Alice Johnson,RM-REQ-0001 Requirements management,Trace: src/routes/html/project/requirements.rs; src/helper_functions/decorators.rs
RM-REQ-0010 Requirement detail view shall show linked tests,"The system shall display tests linked to a requirement on the requirement detail page. Acceptance: when matrix links exist, linked tests are shown in the UI.",RM-REQ-0010,Backend,All Users,Draft,System Test,System Administrator,Alice Johnson,RM-REQ-0001 Requirements management,Trace: src/routes/html/project/requirements.rs; src/helper_functions/decorators.rs (get_linked_tests_for_requirement_impl)
RM-REQ-0011 Requirement editing shall be gated by status,The system shall allow non-admin users to edit requirements only when the requirement status is Draft or Proposal. Acceptance: non-admin users receive HTTP 403 when attempting to edit a non-editable requirement.,RM-REQ-0011,Backend,Administrators,Draft,Unit Test,System Administrator,Alice Johnson,RM-REQ-0001 Requirements management,Trace: src/routes/html/project/requirements.rs; src/status_enums.rs (RequirementStatusEnum::is_editable_by_user)
RM-REQ-0012 API shall create requirements,The system shall support requirement CRUD operations through the REST API. Acceptance: authenticated users can exercise the endpoint(s) under /api/requirements and observe persisted changes.,RM-REQ-0012,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-REQ-0001 Requirements management,Trace: src/api/requirements.rs (create)
RM-REQ-0013 API shall update requirements via PATCH,The system shall support requirement CRUD operations through the REST API. Acceptance: authenticated users can exercise the endpoint(s) under /api/requirements/<id> and observe persisted changes.,RM-REQ-0013,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-REQ-0001 Requirements management,Trace: src/api/requirements.rs (patch_requirement)
RM-REQ-0014 API shall delete requirements,The system shall support requirement CRUD operations through the REST API. Acceptance: authenticated users can exercise the endpoint(s) under /api/requirements/<id> and observe persisted changes.,RM-REQ-0014,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-REQ-0001 Requirements management,Trace: src/api/requirements.rs (delete)
RM-TEST-0002 Tests shall be listable per project in the UI,The system shall render a project-scoped tests listing at /p/<project_id>/tests. Acceptance: an authorized project member receives HTTP 200 and a list view.,RM-TEST-0002,Backend,All Users,Draft,System Test,System Administrator,Alice Johnson,RM-TEST-0001 Test case management,Trace: src/routes/html/project/tests.rs
RM-TEST-0003 Tests shall support hierarchical parent-child relationships,"The system shall support a parent_id field for tests, enabling a tests tree. Acceptance: when parent_id is set, the UI shows the parent relationship.",RM-TEST-0003,Backend,All Users,Draft,System Test,System Administrator,Alice Johnson,RM-TEST-0001 Test case management,Trace: src/routes/html/project/tests.rs; src/helper_functions/decorators.rs
RM-TEST-0004 Test deletion shall be gated by status,"The system shall allow deletion of tests only when the test status is Passed or Failed, unless the user is an admin. Acceptance: non-admin users receive HTTP 403 when deleting a test not in a deletable status.",RM-TEST-0004,Backend,All Users,Draft,Unit Test,System Administrator,Alice Johnson,RM-TEST-0001 Test case management,Trace: src/routes/html/project/tests.rs; src/status_enums.rs (TestStatusEnum)
RM-TEST-0005 Tests shall be linkable to requirements,The system shall allow linking requirements to a test and persist links in the matrix table. Acceptance: creating or editing a test updates the traceability matrix links.,RM-TEST-0005,Backend,All Users,Draft,System Test,System Administrator,Alice Johnson,RM-TEST-0001 Test case management,Trace: src/routes/html/project/tests.rs; src/repository/mod.rs (update_test_requirement_links)
RM-TEST-0006 API shall support updating individual test fields,The system shall support updating test fields via POST /api/tests/<id>/field. Acceptance: supported field updates persist and are returned on GET /api/tests/<id>.,RM-TEST-0006,Backend,All Users,Draft,Unit Test,System Administrator,Alice Johnson,RM-TEST-0001 Test case management,Trace: src/api/tests.rs (update_field)
RM-MATR-0002 Matrix UI shall render project-scoped matrix view,The system shall render a project-scoped traceability matrix at /p/<project_id>/matrix. Acceptance: a project member receives HTTP 200 and the matrix includes requirements and tests for the project.,RM-MATR-0002,Backend,All Users,Draft,System Test,System Administrator,Alice Johnson,RM-MATR-0001 Traceability matrix,Trace: src/routes/html/project/matrix.rs
RM-MATR-0003 Matrix CSV export shall be available,The system shall provide a CSV export of the traceability matrix at /p/<project_id>/matrix.csv. Acceptance: response Content-Type is text/csv and includes header row plus requirement rows.,RM-MATR-0003,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-MATR-0001 Traceability matrix,Trace: src/routes/html/project/matrix.rs; src/services/matrix_service.rs (export_matrix_csv)
RM-MATR-0004 Matrix CSV export shall escape fields correctly,"The system shall escape commas, quotes, and newlines when generating matrix CSV. Acceptance: CSV export quotes fields and doubles embedded quotes per RFC-style CSV rules.",RM-MATR-0004,Backend,All Users,Draft,Unit Test,System Administrator,Alice Johnson,RM-MATR-0001 Traceability matrix,Trace: src/services/matrix_service.rs (csv_escape); tests/api_matrix_integration_test.rs
RM-MATR-0005 Matrix view shall support filtering by test status,The system shall support filtering the matrix view by test status. Acceptance: specifying test_status_filter limits the displayed tests to that status.,RM-MATR-0005,Backend,All Users,Draft,System Test,System Administrator,Alice Johnson,RM-MATR-0001 Traceability matrix,Trace: src/routes/html/project/matrix.rs; src/services/matrix_service.rs (get_matrix_view)
"RM-IMPRT-0002 Import page shall accept .xlsx, .xls, and .csv","The system shall accept file uploads with extensions .xlsx, .xls, and .csv for import. Acceptance: unsupported types are rejected with an error message.",RM-IMPRT-0002,Backend,All Users,Draft,Manual Test,System Administrator,Alice Johnson,RM-IMPRT-0001 Data import (XLS/XLSX/CSV),Trace: src/routes/html/excel.rs (upload_excel_file)
RM-IMPRT-0003 CSV import shall treat first row as headers,The system shall parse CSV imports using the first row as column headers. Acceptance: subsequent rows are treated as records and empty rows are skipped.,RM-IMPRT-0003,Backend,All Users,Draft,Manual Test,System Administrator,Alice Johnson,RM-IMPRT-0001 Data import (XLS/XLSX/CSV),Trace: src/importers/excel.rs (from_csv)
RM-IMPRT-0004 Import UI shall allow mapping columns to supported fields,The system shall present a column-mapping UI after upload that allows mapping each uploaded column to a supported target field. Acceptance: mappings are posted as JSON and used during import.,RM-IMPRT-0004,Backend,All Users,Draft,Manual Test,System Administrator,Alice Johnson,RM-IMPRT-0001 Data import (XLS/XLSX/CSV),Trace: src/routes/html/excel.rs (upload_excel_file/process_excel_import)
RM-IMPRT-0005 Import shall create missing categories and applicability,The system shall create missing Category and Applicability records in the target project when importing requirements. Acceptance: unknown category/applicability titles result in newly created entries.,RM-IMPRT-0005,Backend,All Users,Draft,Manual Test,System Administrator,Alice Johnson,RM-IMPRT-0001 Data import (XLS/XLSX/CSV),Trace: src/importers/excel.rs (resolve_category_id/resolve_applicability_id)
RM-IMPRT-0006 Import shall create missing verification methods,The system shall create missing VerificationMethod records in the target project when importing requirements with unknown verification titles. Acceptance: unknown verification titles result in newly created entries in the project.,RM-IMPRT-0006,Backend,All Users,Draft,Manual Test,System Administrator,Alice Johnson,RM-IMPRT-0001 Data import (XLS/XLSX/CSV),Trace: src/importers/excel.rs (resolve_verification_id)
RM-IMPRT-0007 Imported requirements shall be queued for semantic indexing when enabled,"The system shall queue imported requirement ids for semantic search indexing when embeddings are enabled. Acceptance: after import, indexing queue is populated for imported requirements.",RM-IMPRT-0007,Backend,All Users,Draft,Manual Test,System Administrator,Alice Johnson,RM-IMPRT-0001 Data import (XLS/XLSX/CSV),Trace: src/routes/html/excel.rs (queue_requirements_for_indexing); docs/developer/semantic-search.md
RM-EXP-0002 Requirements XLS export shall be available,The system shall generate an Excel workbook containing requirements and their metadata. Acceptance: requesting /p/<project_id>/requirements.xls returns an .xls workbook.,RM-EXP-0002,Backend,All Users,Draft,Manual Test,System Administrator,Alice Johnson,RM-EXP-0001 Data export (XLS/CSV),Trace: src/generators/excel.rs (create_requirements_workbook); src/routes/html/project/tests.rs (get_requirements_xls)
RM-EXP-0003 Tests XLS export shall be available,The system shall generate an Excel workbook containing tests and their metadata. Acceptance: requesting /p/<project_id>/tests.xls returns an .xls workbook.,RM-EXP-0003,Backend,All Users,Draft,Manual Test,System Administrator,Alice Johnson,RM-EXP-0001 Data export (XLS/CSV),Trace: src/generators/excel.rs (create_tests_workbook); src/routes/html/project/tests.rs
RM-EXP-0004 Matrix XLS export shall be available,The system shall generate an Excel workbook containing the traceability matrix. Acceptance: requesting /p/<project_id>/matrix.xls returns an .xls workbook.,RM-EXP-0004,Backend,All Users,Draft,Manual Test,System Administrator,Alice Johnson,RM-EXP-0001 Data export (XLS/CSV),Trace: src/generators/excel.rs (create_matrix_workbook); src/routes/html/project/matrix.rs
RM-EXP-0005 Matrix CSV export shall include Title and Reference columns,"The matrix CSV export shall include at least Title and Reference columns before per-test columns. Acceptance: first row begins with 'Title,Reference'.",RM-EXP-0005,Backend,All Users,Draft,Manual Test,System Administrator,Alice Johnson,RM-EXP-0001 Data export (XLS/CSV),Trace: src/services/matrix_service.rs (export_matrix_csv)
RM-SRCH-0002 Semantic search shall be disableable by configuration,The system shall return enabled=false and an empty result set when embeddings are disabled. Acceptance: GET semantic_search returns enabled=false when EMBEDDINGS_ENABLED is false.,RM-SRCH-0002,Backend,All Users,Draft,Unit Test,System Administrator,Alice Johnson,RM-SRCH-0001 Semantic search and RAG,Trace: src/api/semantic_search.rs (semantic_search); src/services/semantic_search/semantic_search_service.rs
RM-SRCH-0003 Semantic search shall cap k to 50,The system shall cap the number of semantic search results (k) to a maximum of 50. Acceptance: requests with k>50 are treated as k=50.,RM-SRCH-0003,Backend,All Users,Draft,Unit Test,System Administrator,Alice Johnson,RM-SRCH-0001 Semantic search and RAG,Trace: src/api/semantic_search.rs (SemanticSearchQuery); src/api/semantic_search.rs tests
RM-SRCH-0004 RAG ask shall cap k to 20,The system shall cap the number of context results used for RAG to a maximum of 20. Acceptance: requests with k>20 are treated as k=20.,RM-SRCH-0004,Backend,All Users,Draft,Unit Test,System Administrator,Alice Johnson,RM-SRCH-0001 Semantic search and RAG,Trace: src/api/semantic_search.rs (ask); src/api/semantic_search.rs tests
RM-SRCH-0005 Reindex endpoint shall require embeddings to be enabled,The system shall reject reindex requests when embeddings are disabled. Acceptance: POST reindex returns HTTP 400 with a configuration message when EMBEDDINGS_ENABLED is false.,RM-SRCH-0005,Backend,All Users,Draft,Unit Test,System Administrator,Alice Johnson,RM-SRCH-0001 Semantic search and RAG,Trace: src/api/semantic_search.rs (reindex)
RM-SRCH-0006 Index status endpoint shall return counts per project,The system shall provide project-scoped indexing status counts. Acceptance: GET index_status returns total/indexed/pending/failed counts for the project.,RM-SRCH-0006,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-SRCH-0001 Semantic search and RAG,Trace: src/api/semantic_search.rs (index_status); src/services/semantic_search/indexing_service.rs
RM-CACHE-0002 Cache repository shall provide stats counters,The system shall expose cache hit/miss counters via the cache stats endpoint. Acceptance: GET /api/cache/stats returns a JSON object including hit counter fields.,RM-CACHE-0002,Performance,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-CACHE-0001 Caching and performance telemetry,Trace: src/repository/cache/stats.rs; src/api/cache.rs
RM-CACHE-0003 Cache clear shall remove all cached entries,The system shall clear the cache on request. Acceptance: POST /api/cache/clear returns a success message and subsequent cache lookups miss until repopulated.,RM-CACHE-0003,Performance,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-CACHE-0001 Caching and performance telemetry,Trace: src/repository/cache/cache.rs; src/api/cache.rs
RM-CACHE-0004 Cache cleanup shall remove expired entries,The system shall remove expired cache entries via cleanup. Acceptance: POST /api/cache/cleanup returns cleaned_entries count.,RM-CACHE-0004,Performance,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-CACHE-0001 Caching and performance telemetry,Trace: src/repository/cache/cache.rs; src/api/cache.rs
RM-LOG-0002 CRUD operations shall write audit logs,The system shall write audit log entries for create/update/delete actions on core entities. Acceptance: performing CRUD results in Log entries stored in the logs table.,RM-LOG-0002,Backend,All Users,Draft,Code Review,System Administrator,Alice Johnson,RM-LOG-0001 Audit logging,Trace: src/logger; src/services/*_service.rs (log_created/log_updated/log_deleted)
RM-LOG-0003 Logs shall support querying recent entries,The system shall provide a repository operation to retrieve recent log entries. Acceptance: LogService can fetch a limited set of recent logs.,RM-LOG-0003,Backend,All Users,Draft,Code Review,System Administrator,Alice Johnson,RM-LOG-0001 Audit logging,Trace: src/services/log_service.rs; src/repository/mod.rs (LogRepository)
RM-UI-0002 Home page shall be available,The system shall render the / page for authenticated users with project access when applicable. Acceptance: authorized users receive HTTP 200 and the page includes expected UI elements.,RM-UI-0002,User Interface,All Users,Draft,System Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/mod.rs; templates/index.hbs
RM-UI-0003 Projects page shall list accessible projects,The system shall render the /projects page for authenticated users with project access when applicable. Acceptance: authorized users receive HTTP 200 and the page includes expected UI elements.,RM-UI-0003,User Interface,All Users,Draft,System Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/projects.rs; src/services/project_service.rs
RM-UI-0004 Requirements page shall render filters,The system shall render the /p/<project_id>/requirements page for authenticated users with project access when applicable. Acceptance: authorized users receive HTTP 200 and the page includes expected UI elements.,RM-UI-0004,User Interface,All Users,Draft,System Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/project/requirements.rs; templates/requirements/requirements.hbs
RM-UI-0005 Tests page shall render filters,The system shall render the /p/<project_id>/tests page for authenticated users with project access when applicable. Acceptance: authorized users receive HTTP 200 and the page includes expected UI elements.,RM-UI-0005,User Interface,All Users,Draft,System Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/project/tests.rs; templates/tests/tests.hbs
RM-UI-0006 Matrix page shall render filters,The system shall render the /p/<project_id>/matrix page for authenticated users with project access when applicable. Acceptance: authorized users receive HTTP 200 and the page includes expected UI elements.,RM-UI-0006,User Interface,All Users,Draft,System Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/project/matrix.rs; templates/matrix/matrix.hbs
RM-UI-0007 Import page shall be available,The system shall render the /p/<project_id>/import_excel page for authenticated users with project access when applicable. Acceptance: authorized users receive HTTP 200 and the page includes expected UI elements.,RM-UI-0007,User Interface,All Users,Draft,System Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/excel.rs; templates/import_excel.hbs
RM-UI-0008 GET /login route shall exist,The system shall expose the GET /login route. Acceptance: authorized requests to /login using HTTP GET do not return HTTP 404.,RM-UI-0008,User Interface,All Users,Draft,System Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/auth.rs (login_page)
RM-UI-0009 GET /login shall be accessible without authentication,"The system shall allow unauthenticated clients to access GET /login. Acceptance: when no session cookie is provided, the route returns a 2xx/3xx response.",RM-UI-0009,User Interface,All Users,Draft,System Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/auth.rs (login_page)
RM-UI-0010 GET /login shall return a template-rendered HTML response,The system shall return a template-rendered HTML response for successful GET /login requests. Acceptance: the response status is in the 2xx/3xx class and the content type matches the route's intent.,RM-UI-0010,User Interface,All Users,Draft,System Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/auth.rs (login_page)
RM-UI-0011 POST /login route shall exist,The system shall expose the POST /login route. Acceptance: authorized requests to /login using HTTP POST do not return HTTP 404.,RM-UI-0011,User Interface,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/auth.rs (login)
RM-UI-0012 POST /login shall be accessible without authentication,"The system shall allow unauthenticated clients to access POST /login. Acceptance: when no session cookie is provided, the route returns a 2xx/3xx response.",RM-UI-0012,User Interface,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/auth.rs (login)
RM-UI-0013 POST /login shall return a redirect response,The system shall return a redirect response for successful POST /login requests. Acceptance: the response status is in the 2xx/3xx class and the content type matches the route's intent.,RM-UI-0013,User Interface,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/auth.rs (login)
RM-UI-0014 GET /logout route shall exist,The system shall expose the GET /logout route. Acceptance: authorized requests to /logout using HTTP GET do not return HTTP 404.,RM-UI-0014,User Interface,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/auth.rs (logout)
RM-UI-0015 GET /logout shall be accessible without authentication,"The system shall allow unauthenticated clients to access GET /logout. Acceptance: when no session cookie is provided, the route returns a 2xx/3xx response.",RM-UI-0015,User Interface,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/auth.rs (logout)
RM-UI-0016 GET /logout shall return a redirect response,The system shall return a redirect response for successful GET /logout requests. Acceptance: the response status is in the 2xx/3xx class and the content type matches the route's intent.,RM-UI-0016,User Interface,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/auth.rs (logout)
RM-UI-0017 GET /change_password route shall exist,The system shall expose the GET /change_password route. Acceptance: authorized requests to /change_password using HTTP GET do not return HTTP 404.,RM-UI-0017,User Interface,All Users,Draft,System Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/auth.rs (change_password_page)
RM-UI-0018 GET /change_password shall be accessible without authentication,"The system shall allow unauthenticated clients to access GET /change_password. Acceptance: when no session cookie is provided, the route returns a 2xx/3xx response.",RM-UI-0018,User Interface,All Users,Draft,System Test,System Administrator,Alice Johnson,RM-UI-0001 Web UI pages and templates,Trace: src/routes/html/auth.rs (change_password_page)
